SiO2,Al2O3,Fe2O3tot,CaO,Total,Ti,Rb,Nb,La,Ce,Sm,Yb,LaN,CeN,SmN,YbN,La/Nb,Rb/Sm,Nb/La,Nb/Yb,Nb/Rb,La/Sm,La/Yb,(La/Yb)N,Sm/Yb,(Sm/Yb)N,SiO2(LOI free),TiO2(LOI free),Al2O3(LOI free),Fe2O3(LOI free),MgO(LOI free),CaO(LOI free),Na2O(LOI free),Label,Id
48.7,14.49,8.76,8.03,100.27,6834.0,125.0,41.0,78.0,151.0,14.4,2.78,250.3,186.9,73.8,13.3,1.9,8.68,0.53,14.78,0.33,5.4,27.9,18.8,5.18,5.55,50.8,1.19,15.11,9.14,4.69,8.38,3.18,0,193
75.93,13.01,0.95,2.13,99.98,1978.0,5.0,10.0,12.0,41.0,6.0,4.35,40.0,51.2,30.8,20.8,1.3,0.9,0.79,2.25,1.88,2.1,2.9,1.9,1.4,1.5,75.94,0.33,13.01,0.95,0.55,2.13,6.75,0,2318
58.92,16.46,5.87,3.33,98.47,5635.0,125.0,2.0,18.0,42.0,5.6,4.13,56.8,51.5,28.9,19.8,7.5,22.2,0.13,0.57,0.02,3.1,4.3,2.9,1.4,1.5,60.32,0.96,16.85,6.01,2.31,3.41,9.66,1,1871
77.56,12.14,1.32,0.62,100.0,659.0,124.0,10.0,27.0,59.0,6.1,5.04,87.1,72.9,31.1,24.1,2.8,20.3,0.36,1.94,0.08,4.4,5.4,3.6,1.2,1.3,77.56,0.11,12.14,1.32,0.11,0.62,3.72,0,2319
57.5,17.01,7.2,5.5,99.15,3117.0,178.0,11.0,31.0,63.0,5.7,1.72,99.4,78.0,29.1,8.2,2.8,31.4,0.36,6.51,0.06,5.4,17.9,12.1,3.3,3.5,58.3,0.53,17.25,7.3,2.97,5.58,2.64,1,2499
66.48,18.9,0.42,3.43,101.7,3537.0,66.0,24.0,29.0,48.0,2.7,1.31,93.2,59.8,13.7,6.3,1.2,24.9,0.84,18.63,0.37,10.8,22.1,14.9,2.0,2.2,66.48,0.59,18.9,0.42,0.76,3.43,4.71,0,1189
59.6,16.7,7.66,5.89,99.76,4256.45,61.0,7.0,15.0,31.0,3.5,2.39,49.4,38.1,18.1,11.4,2.3,17.25,0.43,2.76,0.11,4.33,6.4,4.32,1.48,1.58,60.03,0.72,16.82,7.72,2.5,5.93,3.62,1,1084
63.91,17.68,3.65,4.47,100.15,3777.0,112.0,13.0,30.0,61.0,4.6,1.37,96.5,75.0,23.3,6.6,2.3,24.6,0.44,9.56,0.12,6.6,21.8,14.7,3.3,3.6,65.54,0.65,18.13,3.74,0.8,4.58,3.63,2,1225
70.6,13.85,2.68,2.01,98.45,1439.0,143.0,15.0,37.0,65.0,3.6,2.15,120.3,80.4,18.3,10.3,2.6,40.06,0.39,6.74,0.1,10.4,17.3,11.7,1.66,1.78,72.35,0.25,14.19,2.75,0.81,2.06,3.45,1,700
60.23,16.66,4.18,8.66,99.58,2998.0,58.0,5.0,22.0,43.0,4.0,2.12,71.3,52.8,20.7,10.1,4.4,14.39,0.23,2.4,0.09,5.5,10.4,7.0,1.9,2.04,60.92,0.51,16.85,4.23,3.15,8.76,2.27,0,284
